CpbNum,CpbFec,PctCod,Suma de MovDebe,Suma de MovHaber,CcCod,CodAux
00000000,2020-01-01 00:00:00,1-9-1-06,$10503110,$223560,00000000,S/A
00000000,2020-01-01 00:00:00,1-9-1-07,$14942880,$0,00000000,S/A
00000000,2020-01-01 00:00:00,1-9-1-08,$27401600,$0,00000000,S/A
00000000,2020-01-01 00:00:00,2-1-1-01,$20078572,$0,00000000,S/A
00000000,2020-01-01 00:00:00,2-1-1-02,$4306709,$0,00000000,S/A
00000000,2020-01-01 00:00:00,2-5-2-01,$5000000,$0,00000000,S/A
00000000,2020-01-01 00:00:00,3-1-1-01,$1024000,$0,001,00050001
00000000,2020-01-01 00:00:00,3-1-1-01,$1300000,$1300000,001,00060001
00000000,2020-01-01 00:00:00,3-1-1-01,$177236,$177236,001,11266967
00000000,2020-01-01 00:00:00,3-1-1-01,$304440,$0,001,123
00000000,2020-01-01 00:00:00,3-1-1-01,$472233,$472233,001,90635000
00000000,2020-01-01 00:00:00,3-1-1-01,$402474,$402474,001,92445778
00000000,2020-01-01 00:00:00,3-1-1-01,$545322,$545322,001,92455689
00000000,2020-01-01 00:00:00,3-1-1-01,$417723,$417723,001,92667000
00000000,2020-01-01 00:00:00,3-1-1-01,$185000,$510446,001,94773885
00000000,2020-01-01 00:00:00,3-1-1-01,$185992,$185992,001,96722460
00000000,2020-01-01 00:00:00,3-1-1-01,$0,$1024000,002,00050001
00000000,2020-01-01 00:00:00,3-1-1-01,$325446,$0,002,94773885
00000000,2020-01-01 00:00:00,3-1-1-01,$0,$304440,007,123
00000000,2020-01-01 00:00:00,3-1-1-04,$576785,$26748258,001,S/A
00000000,2020-01-01 00:00:00,3-1-1-04,$7879111,$0,002,S/A
00000000,2020-01-01 00:00:00,3-1-1-04,$2270538,$0,003,S/A
00000000,2020-01-01 00:00:00,3-1-1-04,$1370427,$0,007,S/A
00000000,2020-01-01 00:00:00,3-1-1-04,$2045165,$0,012,S/A
00000000,2020-01-01 00:00:00,3-1-1-04,$1191615,$0,020,S/A
00000000,2020-01-01 00:00:00,3-3-1-01,$0,$43817637,00000000,S/A
00000000,2020-01-01 00:00:00,3-4-1-01,$0,$64379474,00000000,S/A
00000000,2020-01-01 00:00:00,3-6-1-01,$3841325,$3841325,00000000,S/A
00000000,2020-01-01 00:00:00,3-9-1-01,$0,$25000000,00000000,00020001
00000000,2020-01-01 00:00:00,3-9-1-01,$0,$13335398,00000000,00020002
00000000,2020-01-01 00:00:00,3-9-1-02,$0,$27050000,00000000,S/A
00000000,2020-01-01 00:00:00,3-9-2-02,$0,$98447774,00000000,S/A
00000001,2020-01-31 00:00:00,1-1-1-01,$0,$74433,00000000,S/A
00000001,2020-01-31 00:00:00,1-3-1-02,$74433,$0,00000000,00000010
00000001,2020-01-31 00:00:00,3-1-1-01,$0,$119000,001,88888888
00000001,2020-01-31 00:00:00,3-6-1-01,$19000,$0,00000000,S/A
00000001,2020-01-31 00:00:00,5-2-2-01,$100000,$0,001,S/A
00000002,2020-02-05 00:00:00,1-3-1-01,$238000,$0,00000000,9999999999
00000002,2020-02-05 00:00:00,4-1-1-01,$0,$238000,001,S/A
00000003,2020-03-05 00:00:00,1-1-1-01,$0,$10000,00000000,S/A
00000003,2020-03-05 00:00:00,3-1-1-01,$10000,$0,001,88888888
00000004,2020-04-30 00:00:00,1-1-1-01,$1000000,$0,00000000,S/A
00000004,2020-04-30 00:00:00,1-1-1-02,$0,$1000000,00000000,S/A
00000005,2020-05-30 00:00:00,1-1-1-01,$0,$150000,00000000,S/A
00000005,2020-05-30 00:00:00,1-2-2-01,$150000,$0,00000000,S/A
00000007,2020-06-06 00:00:00,1-2-2-01,$0,$26500,00000000,S/A
00000007,2020-06-06 00:00:00,1-8-1-01,$4231,$0,00000000,S/A
00000007,2020-06-06 00:00:00,3-1-1-01,$26500,$26500,002,00000020
00000007,2020-06-06 00:00:00,5-1-7-05,$22269,$0,00000000,S/A
00000008,2020-06-10 00:00:00,1-2-2-01,$0,$2408574,00000000,S/A
00000008,2020-06-10 00:00:00,3-1-1-05,$2408574,$0,00000000,S/A
00000009,2020-06-30 00:00:00,1-2-2-01,$0,$190700,00000000,S/A
00000009,2020-06-30 00:00:00,5-1-7-04,$27500,$0,00000000,S/A
00000009,2020-06-30 00:00:00,5-1-7-05,$163200,$0,00000000,S/A
00000010,2020-06-30 00:00:00,1-8-1-01,$289970,$0,00000000,S/A
00000010,2020-06-30 00:00:00,1-9-1-02,$199880,$0,00000000,S/A
00000010,2020-06-30 00:00:00,1-9-1-03,$276230,$0,00000000,S/A
00000010,2020-06-30 00:00:00,1-9-1-04,$126458,$0,00000000,S/A
00000010,2020-06-30 00:00:00,1-9-1-07,$565342,$0,00000000,S/A
00000010,2020-06-30 00:00:00,1-9-1-08,$358250,$0,00000000,S/A
00000010,2020-06-30 00:00:00,3-1-1-01,$0,$422734,001,100
00000010,2020-06-30 00:00:00,3-1-1-01,$0,$235858,001,101
00000010,2020-06-30 00:00:00,3-1-1-01,$0,$325951,001,102
00000010,2020-06-30 00:00:00,3-1-1-01,$0,$149220,001,103
00000010,2020-06-30 00:00:00,3-1-1-01,$0,$682367,001,104
00000011,2020-06-30 00:00:00,1-3-1-01,$294184,$0,00000000,1
00000011,2020-06-30 00:00:00,1-3-1-01,$330196,$0,00000000,2
00000011,2020-06-30 00:00:00,1-3-1-01,$1517185,$0,00000000,3
00000011,2020-06-30 00:00:00,1-3-1-01,$936802,$0,00000000,4
00000011,2020-06-30 00:00:00,1-3-1-01,$1367726,$0,00000000,5
00000011,2020-06-30 00:00:00,1-3-1-01,$608974,$0,00000000,6
00000011,2020-06-30 00:00:00,1-3-1-01,$323910,$0,00000000,7
00000011,2020-06-30 00:00:00,1-3-1-01,$459020,$0,00000000,8
00000011,2020-06-30 00:00:00,3-6-1-01,$0,$892074,00000000,S/A
00000011,2020-06-30 00:00:00,4-1-1-02,$0,$518690,001,S/A
00000011,2020-06-30 00:00:00,4-1-1-03,$0,$1697050,001,S/A
00000011,2020-06-30 00:00:00,4-1-1-04,$0,$481800,001,S/A
00000011,2020-06-30 00:00:00,4-1-1-07,$0,$1264280,001,S/A
00000011,2020-06-30 00:00:00,4-1-1-08,$0,$984103,00000000,S/A
00000012,2020-06-30 00:00:00,1-3-1-01,$373293,$0,00000000,1
00000012,2020-06-30 00:00:00,1-3-1-01,$895384,$0,00000000,2
00000012,2020-06-30 00:00:00,3-6-1-01,$0,$193527,00000000,S/A
00000012,2020-06-30 00:00:00,4-1-1-02,$0,$316350,001,S/A
00000012,2020-06-30 00:00:00,4-1-1-05,$0,$758800,001,S/A
00000013,2020-06-30 00:00:00,3-1-1-03,$0,$324688,00000000,S/A
00000013,2020-06-30 00:00:00,3-1-1-04,$0,$1922485,001,S/A
00000013,2020-06-30 00:00:00,3-1-1-04,$0,$3078646,002,S/A
00000013,2020-06-30 00:00:00,3-1-1-04,$0,$635524,003,S/A
00000013,2020-06-30 00:00:00,3-1-1-04,$0,$1040754,007,S/A
00000013,2020-06-30 00:00:00,3-1-1-04,$0,$2329249,012,S/A
00000013,2020-06-30 00:00:00,3-1-1-05,$0,$1598818,00000000,S/A
00000013,2020-06-30 00:00:00,3-1-1-06,$0,$29739,00000000,S/A
00000013,2020-06-30 00:00:00,3-6-1-04,$0,$332835,00000000,S/A
00000013,2020-06-30 00:00:00,5-1-1-01,$2468086,$0,001,S/A
00000013,2020-06-30 00:00:00,5-1-1-01,$3841414,$0,002,S/A
00000013,2020-06-30 00:00:00,5-1-1-01,$796837,$0,003,S/A
00000013,2020-06-30 00:00:00,5-1-1-01,$1350777,$0,007,S/A
00000013,2020-06-30 00:00:00,5-1-1-01,$2835624,$0,012,S/A
00000014,2020-06-30 00:00:00,3-1-1-03,$0,$148889,00000000,S/A
00000014,2020-06-30 00:00:00,3-1-1-04,$0,$518762,001,S/A
00000014,2020-06-30 00:00:00,3-1-1-04,$0,$1515709,002,S/A
00000014,2020-06-30 00:00:00,3-1-1-04,$0,$997432,003,S/A
00000014,2020-06-30 00:00:00,3-1-1-04,$0,$826889,020,S/A
00000014,2020-06-30 00:00:00,3-1-1-05,$0,$809756,00000000,S/A
00000014,2020-06-30 00:00:00,3-1-1-06,$0,$1530,00000000,S/A
00000014,2020-06-30 00:00:00,3-6-1-04,$0,$30285,00000000,S/A
00000014,2020-06-30 00:00:00,5-1-1-01,$644943,$0,001,S/A
00000014,2020-06-30 00:00:00,5-1-1-01,$1900017,$0,002,S/A
00000014,2020-06-30 00:00:00,5-1-1-01,$1251066,$0,003,S/A
00000014,2020-06-30 00:00:00,5-1-1-01,$1053226,$0,020,S/A
00000015,2020-06-30 00:00:00,1-3-1-02,$56000,$0,00000000,00000010
00000015,2020-06-30 00:00:00,1-9-1-02,$0,$12000,00000000,S/A
00000015,2020-06-30 00:00:00,1-9-1-03,$0,$10000,00000000,S/A
00000015,2020-06-30 00:00:00,1-9-1-05,$0,$14000,00000000,S/A
00000015,2020-06-30 00:00:00,1-9-1-08,$0,$11458,00000000,S/A
00000015,2020-06-30 00:00:00,3-6-1-01,$0,$8542,00000000,S/A
00000016,2020-06-30 00:00:00,1-2-2-01,$0,$12865450,00000000,S/A
00000016,2020-06-30 00:00:00,3-1-1-04,$1458000,$0,001,S/A
00000016,2020-06-30 00:00:00,3-1-1-04,$2650000,$0,002,S/A
00000016,2020-06-30 00:00:00,3-1-1-04,$3254789,$0,003,S/A
00000016,2020-06-30 00:00:00,3-1-1-04,$578630,$0,004,S/A
00000016,2020-06-30 00:00:00,3-1-1-04,$2478632,$0,005,S/A
00000016,2020-06-30 00:00:00,3-1-1-04,$2445399,$0,006,S/A
00000017,2020-07-04 00:00:00,1-2-2-01,$0,$748685,00000000,S/A
00000017,2020-07-04 00:00:00,1-2-2-02,$0,$235858,00000000,S/A
00000017,2020-07-04 00:00:00,3-1-1-01,$422734,$0,001,100
00000017,2020-07-04 00:00:00,3-1-1-01,$235858,$0,001,101
00000017,2020-07-04 00:00:00,3-1-1-01,$325951,$0,001,102
00000018,2020-07-05 00:00:00,1-2-2-01,$5887665,$0,00000000,S/A
00000018,2020-07-05 00:00:00,1-3-1-01,$0,$293230,00000000,1
00000018,2020-07-05 00:00:00,1-3-1-01,$0,$1225580,00000000,2
00000018,2020-07-05 00:00:00,1-3-1-01,$0,$1517185,00000000,3
00000018,2020-07-05 00:00:00,1-3-1-01,$0,$936802,00000000,4
00000018,2020-07-05 00:00:00,1-3-1-01,$0,$1367726,00000000,5
00000018,2020-07-05 00:00:00,1-3-1-01,$0,$547142,00000000,6
00000019,2020-07-05 00:00:00,1-3-1-01,$0,$373293,00000000,1
00000019,2020-07-05 00:00:00,3-1-1-06,$373293,$0,00000000,S/A
00000020,2020-07-08 00:00:00,1-2-2-01,$0,$105460,00000000,S/A
00000020,2020-07-08 00:00:00,1-8-1-01,$16087,$0,00000000,S/A
00000020,2020-07-08 00:00:00,3-1-1-01,$105460,$105460,004,00000020
00000020,2020-07-08 00:00:00,5-1-7-06,$89373,$0,00000000,S/A
00000021,2020-07-09 00:00:00,1-2-2-01,$0,$1250000,00000000,S/A
00000021,2020-07-09 00:00:00,1-2-2-02,$1250000,$0,00000000,S/A
00000022,2020-07-10 00:00:00,1-2-1-02,$782930,$0,00000000,S/A
00000022,2020-07-10 00:00:00,1-3-1-01,$0,$323910,00000000,7
00000022,2020-07-10 00:00:00,1-3-1-01,$0,$459020,00000000,8
00000023,2020-07-10 00:00:00,1-2-2-01,$0,$2401906,00000000,S/A
00000023,2020-07-10 00:00:00,3-1-1-05,$2401906,$0,00000000,S/A
00000024,2020-07-20 00:00:00,1-2-2-01,$0,$149220,00000000,S/A
00000024,2020-07-20 00:00:00,1-2-2-02,$0,$682367,00000000,S/A
00000024,2020-07-20 00:00:00,3-1-1-01,$149220,$0,001,103
00000024,2020-07-20 00:00:00,3-1-1-01,$682367,$0,001,104
00000025,2020-07-30 00:00:00,1-2-2-01,$0,$12107211,00000000,S/A
00000025,2020-07-30 00:00:00,3-1-1-04,$1420583,$0,001,S/A
00000025,2020-07-30 00:00:00,3-1-1-04,$2580698,$0,002,S/A
00000025,2020-07-30 00:00:00,3-1-1-04,$3230000,$0,003,S/A
00000025,2020-07-30 00:00:00,3-1-1-04,$574630,$0,004,S/A
00000025,2020-07-30 00:00:00,3-1-1-04,$2256300,$0,005,S/A
00000025,2020-07-30 00:00:00,3-1-1-04,$2045000,$0,006,S/A
00000026,2020-07-30 00:00:00,1-8-1-01,$242801,$0,00000000,S/A
00000026,2020-07-30 00:00:00,1-9-1-02,$256897,$0,00000000,S/A
00000026,2020-07-30 00:00:00,1-9-1-03,$245639,$0,00000000,S/A
00000026,2020-07-30 00:00:00,1-9-1-04,$158355,$0,00000000,S/A
00000026,2020-07-30 00:00:00,1-9-1-07,$420109,$0,00000000,S/A
00000026,2020-07-30 00:00:00,1-9-1-08,$267895,$0,00000000,S/A
00000026,2020-07-30 00:00:00,3-1-1-01,$0,$616377,001,100
00000026,2020-07-30 00:00:00,3-1-1-01,$0,$195728,001,101
00000026,2020-07-30 00:00:00,3-1-1-01,$0,$282782,001,102
00000026,2020-07-30 00:00:00,3-1-1-01,$0,$295350,001,103
00000026,2020-07-30 00:00:00,3-1-1-01,$0,$201459,001,104
00000028,2020-07-30 00:00:00,3-1-1-03,$0,$324688,00000000,S/A
00000028,2020-07-30 00:00:00,3-1-1-04,$0,$1866983,001,S/A
00000028,2020-07-30 00:00:00,3-1-1-04,$0,$2914228,002,S/A
00000028,2020-07-30 00:00:00,3-1-1-04,$0,$635524,003,S/A
00000028,2020-07-30 00:00:00,3-1-1-04,$0,$1338860,007,S/A
00000028,2020-07-30 00:00:00,3-1-1-04,$0,$1174398,012,S/A
00000028,2020-07-30 00:00:00,3-1-1-05,$0,$1625911,00000000,S/A
00000028,2020-07-30 00:00:00,3-1-1-06,$0,$29577,00000000,S/A
00000028,2020-07-30 00:00:00,3-6-1-04,$0,$171161,00000000,S/A
00000028,2020-07-30 00:00:00,5-1-1-01,$2417149,$0,001,S/A
00000028,2020-07-30 00:00:00,5-1-1-01,$3630682,$0,002,S/A
00000028,2020-07-30 00:00:00,5-1-1-01,$796837,$0,003,S/A
00000028,2020-07-30 00:00:00,5-1-1-01,$1718866,$0,007,S/A
00000028,2020-07-30 00:00:00,5-1-1-01,$1517796,$0,012,S/A
00000029,2020-07-30 00:00:00,3-1-1-03,$0,$148889,00000000,S/A
00000029,2020-07-30 00:00:00,3-1-1-04,$0,$518762,001,S/A
00000029,2020-07-30 00:00:00,3-1-1-04,$0,$1991215,002,S/A
00000029,2020-07-30 00:00:00,3-1-1-04,$0,$839923,003,S/A
00000029,2020-07-30 00:00:00,3-1-1-04,$0,$827318,020,S/A
00000029,2020-07-30 00:00:00,3-1-1-05,$0,$775995,00000000,S/A
00000029,2020-07-30 00:00:00,3-1-1-06,$0,$1440,00000000,S/A
00000029,2020-07-30 00:00:00,3-6-1-04,$0,$81141,00000000,S/A
00000029,2020-07-30 00:00:00,5-1-1-01,$644943,$0,001,S/A
00000029,2020-07-30 00:00:00,5-1-1-01,$2426379,$0,002,S/A
00000029,2020-07-30 00:00:00,5-1-1-01,$1060871,$0,003,S/A
00000029,2020-07-30 00:00:00,5-1-1-01,$1052490,$0,020,S/A
00000030,2020-07-30 00:00:00,1-3-1-02,$91000,$0,00000000,00000010
00000030,2020-07-30 00:00:00,1-9-1-02,$0,$12000,00000000,S/A
00000030,2020-07-30 00:00:00,1-9-1-03,$0,$10000,00000000,S/A
00000030,2020-07-30 00:00:00,1-9-1-05,$0,$43661,00000000,S/A
00000030,2020-07-30 00:00:00,1-9-1-08,$0,$11458,00000000,S/A
00000030,2020-07-30 00:00:00,3-6-1-01,$0,$13881,00000000,S/A
00000031,2020-08-02 00:00:00,1-2-2-01,$0,$58741,00000000,S/A
00000031,2020-08-02 00:00:00,1-2-2-02,$0,$282782,00000000,S/A
00000031,2020-08-02 00:00:00,3-1-1-01,$616377,$0,001,100
00000031,2020-08-02 00:00:00,3-1-1-01,$195728,$0,001,101
00000031,2020-08-02 00:00:00,3-1-1-01,$282782,$0,001,102
00000031,2020-08-02 00:00:00,3-2-1-01,$0,$616377,00000000,100
00000031,2020-08-02 00:00:00,3-2-1-01,$0,$136987,00000000,101
00000033,2020-08-08 00:00:00,1-2-2-01,$0,$850000,00000000,S/A
00000033,2020-08-08 00:00:00,1-2-2-02,$850000,$0,00000000,S/A
00000034,2020-08-10 00:00:00,1-2-2-01,$4254632,$0,00000000,S/A
00000034,2020-08-10 00:00:00,1-3-1-01,$0,$124431,00000000,1
00000034,2020-08-10 00:00:00,1-3-1-01,$0,$456660,00000000,3
00000034,2020-08-10 00:00:00,1-3-1-01,$0,$1726989,00000000,4
00000034,2020-08-10 00:00:00,1-3-1-01,$0,$87792,00000000,5
00000034,2020-08-10 00:00:00,1-3-1-01,$0,$501736,00000000,6
00000034,2020-08-10 00:00:00,1-3-1-01,$0,$1348174,00000000,7
00000034,2020-08-10 00:00:00,1-3-1-01,$0,$8850,00000000,9
00000035,2020-08-10 00:00:00,1-2-2-01,$0,$2455937,00000000,S/A
00000035,2020-08-10 00:00:00,3-1-1-05,$2455937,$0,00000000,S/A
00000036,2020-08-22 00:00:00,1-2-2-01,$0,$254897,00000000,S/A
00000036,2020-08-22 00:00:00,3-1-1-01,$295350,$0,001,103
00000036,2020-08-22 00:00:00,3-1-1-01,$201459,$0,001,104
00000036,2020-08-22 00:00:00,3-2-1-01,$0,$105698,00000000,103
00000036,2020-08-22 00:00:00,3-2-1-01,$0,$136214,00000000,104
00000037,2020-08-30 00:00:00,1-2-2-01,$0,$152200,00000000,S/A
00000037,2020-08-30 00:00:00,5-1-7-04,$33550,$0,00000000,S/A
00000037,2020-08-30 00:00:00,5-1-7-05,$118650,$0,00000000,S/A
00000038,2020-08-30 00:00:00,1-2-2-01,$0,$13199542,00000000,S/A
00000038,2020-08-30 00:00:00,3-1-1-04,$1652000,$0,001,S/A
00000038,2020-08-30 00:00:00,3-1-1-04,$2830456,$0,002,S/A
00000038,2020-08-30 00:00:00,3-1-1-04,$2860352,$0,003,S/A
00000038,2020-08-30 00:00:00,3-1-1-04,$986321,$0,004,S/A
00000038,2020-08-30 00:00:00,3-1-1-04,$2365989,$0,005,S/A
00000038,2020-08-30 00:00:00,3-1-1-04,$2504424,$0,006,S/A
00000039,2020-08-30 00:00:00,1-3-1-02,$85000,$0,00000000,00000010
00000039,2020-08-30 00:00:00,1-9-1-02,$0,$36576,00000000,S/A
00000039,2020-08-30 00:00:00,1-9-1-03,$0,$10000,00000000,S/A
00000039,2020-08-30 00:00:00,1-9-1-05,$0,$14000,00000000,S/A
00000039,2020-08-30 00:00:00,1-9-1-08,$0,$11458,00000000,S/A
00000039,2020-08-30 00:00:00,3-6-1-01,$0,$12966,00000000,S/A
00000040,2020-08-30 00:00:00,1-8-1-01,$254137,$0,00000000,S/A
00000040,2020-08-30 00:00:00,1-9-1-02,$570000,$0,00000000,S/A
00000040,2020-08-30 00:00:00,1-9-1-03,$95415,$0,00000000,S/A
00000040,2020-08-30 00:00:00,1-9-1-04,$145654,$0,00000000,S/A
00000040,2020-08-30 00:00:00,1-9-1-05,$98745,$0,00000000,S/A
00000040,2020-08-30 00:00:00,1-9-1-07,$461455,$0,00000000,S/A
00000040,2020-08-30 00:00:00,1-9-1-08,$136002,$0,00000000,S/A
00000040,2020-08-30 00:00:00,3-1-1-01,$0,$395369,001,100
00000040,2020-08-30 00:00:00,3-1-1-01,$0,$250216,001,101
00000040,2020-08-30 00:00:00,3-1-1-01,$0,$310641,001,102
00000040,2020-08-30 00:00:00,3-1-1-01,$0,$221190,001,103
00000040,2020-08-30 00:00:00,3-1-1-01,$0,$221827,001,104
00000040,2020-08-30 00:00:00,3-1-1-01,$0,$362165,001,105
00000041,2020-08-31 00:00:00,1-3-1-01,$1186136,$0,00000000,1
00000041,2020-08-31 00:00:00,1-3-1-01,$661355,$0,00000000,2
00000041,2020-08-31 00:00:00,1-3-1-01,$368726,$0,00000000,3
00000041,2020-08-31 00:00:00,1-3-1-01,$812666,$0,00000000,4
00000041,2020-08-31 00:00:00,1-3-1-01,$1316856,$0,00000000,5
00000041,2020-08-31 00:00:00,1-3-1-01,$661331,$0,00000000,7
00000041,2020-08-31 00:00:00,1-3-1-01,$238738,$0,00000000,8
00000041,2020-08-31 00:00:00,1-3-1-01,$174699,$0,00000000,9
00000041,2020-08-31 00:00:00,3-6-1-01,$0,$826857,00000000,S/A
00000041,2020-08-31 00:00:00,4-1-1-02,$0,$1959170,001,S/A
00000041,2020-08-31 00:00:00,4-1-1-03,$0,$251160,001,S/A
00000041,2020-08-31 00:00:00,4-1-1-04,$0,$243400,001,S/A
00000041,2020-08-31 00:00:00,4-1-1-05,$0,$147240,001,S/A
00000041,2020-08-31 00:00:00,4-1-1-07,$0,$1641880,001,S/A
00000041,2020-08-31 00:00:00,4-1-1-08,$0,$350800,00000000,S/A
00000042,2020-08-30 00:00:00,3-1-1-03,$0,$324688,00000000,S/A
00000042,2020-08-30 00:00:00,3-1-1-04,$0,$1951677,001,S/A
00000042,2020-08-30 00:00:00,3-1-1-04,$0,$3024670,002,S/A
00000042,2020-08-30 00:00:00,3-1-1-04,$0,$603267,003,S/A
00000042,2020-08-30 00:00:00,3-1-1-04,$0,$1266938,007,S/A
00000042,2020-08-30 00:00:00,3-1-1-04,$0,$2356056,012,S/A
00000042,2020-08-30 00:00:00,3-1-1-05,$0,$1703733,00000000,S/A
00000042,2020-08-30 00:00:00,3-1-1-06,$0,$29980,00000000,S/A
00000042,2020-08-30 00:00:00,3-6-1-04,$0,$307994,00000000,S/A
00000042,2020-08-30 00:00:00,5-1-1-01,$2520308,$0,001,S/A
00000042,2020-08-30 00:00:00,5-1-1-01,$3787581,$0,002,S/A
00000042,2020-08-30 00:00:00,5-1-1-01,$758974,$0,003,S/A
00000042,2020-08-30 00:00:00,5-1-1-01,$1635082,$0,007,S/A
00000042,2020-08-30 00:00:00,5-1-1-01,$2867058,$0,012,S/A
00000043,2020-08-30 00:00:00,3-1-1-03,$0,$148889,00000000,S/A
00000043,2020-08-30 00:00:00,3-1-1-04,$0,$518762,001,S/A
00000043,2020-08-30 00:00:00,3-1-1-04,$0,$1943665,002,S/A
00000043,2020-08-30 00:00:00,3-1-1-04,$0,$813672,003,S/A
00000043,2020-08-30 00:00:00,3-1-1-04,$0,$720835,020,S/A
00000043,2020-08-30 00:00:00,3-1-1-05,$0,$752204,00000000,S/A
00000043,2020-08-30 00:00:00,3-1-1-06,$0,$1530,00000000,S/A
00000043,2020-08-30 00:00:00,3-6-1-04,$0,$76055,00000000,S/A
00000043,2020-08-30 00:00:00,5-1-1-01,$644943,$0,001,S/A
00000043,2020-08-30 00:00:00,5-1-1-01,$2373743,$0,002,S/A
00000043,2020-08-30 00:00:00,5-1-1-01,$1029172,$0,003,S/A
00000043,2020-08-30 00:00:00,5-1-1-01,$927754,$0,020,S/A
00000044,2020-09-02 00:00:00,1-2-1-02,$0,$247632,00000000,S/A
00000044,2020-09-02 00:00:00,3-2-1-01,$247632,$0,00000000,100
00000045,2020-09-04 00:00:00,1-2-2-01,$0,$193960,00000000,S/A
00000045,2020-09-04 00:00:00,3-1-1-01,$395369,$0,001,100
00000045,2020-09-04 00:00:00,3-1-1-01,$250216,$0,001,101
00000045,2020-09-04 00:00:00,3-1-1-01,$310641,$0,001,102
00000045,2020-09-04 00:00:00,3-2-1-01,$0,$250369,00000000,100
00000045,2020-09-04 00:00:00,3-2-1-01,$0,$201256,00000000,101
00000045,2020-09-04 00:00:00,3-2-1-01,$0,$310641,00000000,102
00000046,2020-09-10 00:00:00,1-2-2-01,$4146567,$0,00000000,S/A
00000046,2020-09-10 00:00:00,1-3-1-01,$0,$694194,00000000,1
00000046,2020-09-10 00:00:00,1-3-1-01,$0,$164575,00000000,2
00000046,2020-09-10 00:00:00,1-3-1-01,$0,$368726,00000000,3
00000046,2020-09-10 00:00:00,1-3-1-01,$0,$812666,00000000,4
00000046,2020-09-10 00:00:00,1-3-1-01,$0,$1316856,00000000,5
00000046,2020-09-10 00:00:00,1-3-1-01,$0,$661331,00000000,7
00000046,2020-09-10 00:00:00,1-3-1-01,$0,$119369,00000000,8
00000046,2020-09-10 00:00:00,1-3-1-01,$0,$8850,00000000,9
00000047,2020-09-10 00:00:00,1-2-2-01,$0,$2386148,00000000,S/A
00000047,2020-09-10 00:00:00,3-1-1-05,$2386148,$0,00000000,S/A
