NroInt;Linea;CodAux;Fecha;CodBode;CodProd;CodiCC;CantDespachada;CantFacturada;CantIngresada;Tipo;TotLinea
1;53;;01-01-2011 0:00;1;MPTK0;;0;0;2;A;0
1;54;;01-01-2011 0:00;1;MPTK1;;0;0;6;A;0
1;55;;01-01-2011 0:00;1;MPTK2;;0;0;1;A;0
1;56;;01-01-2011 0:00;1;MPTK3;;0;0;6;A;0
1;57;;01-01-2011 0:00;1;MPTP0;;0;0;7;A;0
1;58;;01-01-2011 0:00;1;MPTP1;;0;0;4;A;0
1;59;;01-01-2011 0:00;1;MPTP2;;0;0;5;A;0
1;60;;01-01-2011 0:00;1;MPTP3;;0;0;5;A;0
1;61;;01-01-2011 0:00;1;MPTT0;;0;0;2;A;0
1;62;;01-01-2011 0:00;1;MPTT1;;0;0;2;A;0
1;63;;01-01-2011 0:00;1;MPTT2;;0;0;2;A;0
1;64;;01-01-2011 0:00;1;MPTT3;;0;0;2;A;0
1;65;;01-01-2011 0:00;1;PAH01;;0;0;21;A;0
1;66;;01-01-2011 0:00;1;PAH02;;0;0;30;A;0
1;67;;01-01-2011 0:00;1;PAM01;;0;0;30;A;0
1;68;;01-01-2011 0:00;1;PAM02;;0;0;3;A;0
1;69;;01-01-2011 0:00;1;PSH01;;0;0;3;A;0
1;70;;01-01-2011 0:00;1;PSH02;;0;0;2;A;0
1;71;;01-01-2011 0:00;1;PSM01;;0;0;4;A;0
1;72;;01-01-2011 0:00;1;PSM02;;0;0;6;A;0
2;1;;01-01-2011 0:00;2;ACC01;;0;0;2;A;0
2;2;;01-01-2011 0:00;2;ACC02;;0;0;1;A;0
2;3;;01-01-2011 0:00;2;ACD01;;0;0;5;A;0
2;4;;01-01-2011 0:00;2;ACD02;;0;0;2;A;0
2;5;;01-01-2011 0:00;2;ACT01;;0;0;10;A;0
2;6;;01-01-2011 0:00;2;CAH01;;0;0;30;A;0
2;7;;01-01-2011 0:00;2;CAH02;;0;0;12;A;0
2;8;;01-01-2011 0:00;2;CAM01;;0;0;28;A;0
2;9;;01-01-2011 0:00;2;CAM02;;0;0;34;A;0
2;10;;01-01-2011 0:00;2;CHH01;;0;0;20;A;0
2;11;;01-01-2011 0:00;2;CHH02;;0;0;8;A;0
2;12;;01-01-2011 0:00;2;CHM01;;0;0;14;A;0
2;13;;01-01-2011 0:00;2;CHM02;;0;0;12;A;0
2;14;;01-01-2011 0:00;2;MPBC0;;0;0;100;A;0
2;15;;01-01-2011 0:00;2;MPBC1;;0;0;76;A;0
2;16;;01-01-2011 0:00;2;MPBC2;;0;0;73;A;0
2;17;;01-01-2011 0:00;2;MPBC3;;0;0;42;A;0
2;18;;01-01-2011 0:00;2;MPBG0;;0;0;141;A;0
2;19;;01-01-2011 0:00;2;MPBM0;;0;0;96;A;0
2;20;;01-01-2011 0:00;2;MPBP0;;0;0;571;A;0
2;21;;01-01-2011 0:00;2;MPBS0;;0;0;666;A;0
2;22;;01-01-2011 0:00;2;MPCK0;;0;0;68;A;0
2;23;;01-01-2011 0:00;2;MPCP1;;0;0;200;A;0
2;24;;01-01-2011 0:00;2;MPCP2;;0;0;204;A;0
2;25;;01-01-2011 0:00;2;MPECP;;0;0;100;A;0
2;26;;01-01-2011 0:00;2;MPEFP;;0;0;200;A;0
2;27;;01-01-2011 0:00;2;MPHPD;;0;0;20;A;0
2;28;;01-01-2011 0:00;2;MPI01;;0;0;20;A;0
2;29;;01-01-2011 0:00;2;MPI02;;0;0;20;A;0
2;30;;01-01-2011 0:00;2;MPI03;;0;0;10;A;0
2;31;;01-01-2011 0:00;2;MPI04;;0;0;1;A;0
2;32;;01-01-2011 0:00;2;MPLA0;;0;0;2;A;0
2;33;;01-01-2011 0:00;2;MPLA1;;0;0;1;A;0
2;34;;01-01-2011 0:00;2;MPLA2;;0;0;2;A;0
2;35;;01-01-2011 0:00;2;MPLM2;;0;0;1;A;0
2;36;;01-01-2011 0:00;2;MPLM3;;0;0;1;A;0
2;37;;01-01-2011 0:00;2;MPOCH;;0;0;13;A;0
2;38;;01-01-2011 0:00;2;MPQM0;;0;0;20;A;0
2;39;;01-01-2011 0:00;2;MPRP1;;0;0;3;A;0
2;40;;01-01-2011 0:00;2;MPTA0;;0;0;10;A;0
2;41;;01-01-2011 0:00;2;MPTA1;;0;0;1;A;0
2;42;;01-01-2011 0:00;2;MPTA2;;0;0;1;A;0
2;43;;01-01-2011 0:00;2;MPTA3;;0;0;1;A;0
2;44;;01-01-2011 0:00;2;MPTBP;;0;0;4;A;0
2;45;;01-01-2011 0:00;2;MPTF0;;0;0;4;A;0
2;46;;01-01-2011 0:00;2;MPTK0;;0;0;1;A;0
2;47;;01-01-2011 0:00;2;MPTK1;;0;0;5;A;0
2;48;;01-01-2011 0:00;2;MPTK3;;0;0;4;A;0
2;49;;01-01-2011 0:00;2;MPTP0;;0;0;5;A;0
2;50;;01-01-2011 0:00;2;MPTP1;;0;0;3;A;0
2;51;;01-01-2011 0:00;2;MPTP2;;0;0;2;A;0
2;52;;01-01-2011 0:00;2;MPTP3;;0;0;2;A;0
2;53;;01-01-2011 0:00;2;MPTT0;;0;0;2;A;0
2;54;;01-01-2011 0:00;2;MPTT1;;0;0;2;A;0
2;55;;01-01-2011 0:00;2;MPTT2;;0;0;2;A;0
2;56;;01-01-2011 0:00;2;MPTT3;;0;0;2;A;0
2;57;;01-01-2011 0:00;2;PAH01;;0;0;20;A;0
2;58;;01-01-2011 0:00;2;PAH02;;0;0;11;A;0
2;59;;01-01-2011 0:00;2;PAM01;;0;0;16;A;0
2;60;;01-01-2011 0:00;2;PAM02;;0;0;2;A;0
2;61;;01-01-2011 0:00;2;PSH01;;0;0;1;A;0
2;62;;01-01-2011 0:00;2;PSH02;;0;0;2;A;0
2;63;;01-01-2011 0:00;2;PSM01;;0;0;2;A;0
2;64;;01-01-2011 0:00;2;PSM02;;0;0;4;A;0
3;1;;02-01-2011 0:00;1;MPI01;7;1;0;0;R;0
3;2;;02-01-2011 0:00;1;MPI02;7;1;0;0;R;0
3;3;;02-01-2011 0:00;1;MPI03;7;2;0;0;R;0
4;1;10;02-01-2011 0:00;1;CAH01;;7;0;0;R;0
4;2;10;02-01-2011 0:00;1;CAH02;;10;0;0;R;0
4;3;10;02-01-2011 0:00;1;CAM01;;10;0;0;R;0
4;4;10;02-01-2011 0:00;1;CAM02;;10;0;0;R;0
6;1;;06-01-2011 0:00;1;ACC01;;3;0;0;S;0
6;2;;06-01-2011 0:00;1;ACD01;;50;0;0;S;0
6;3;;06-01-2011 0:00;1;ACT01;;40;0;0;S;0
6;4;;06-01-2011 0:00;1;ACU01;;1;0;0;S;0
6;5;;06-01-2011 0:00;1;CAH01;;30;0;0;S;0
6;6;;06-01-2011 0:00;1;CAM01;;50;0;0;S;0
6;7;;06-01-2011 0:00;1;CHH01;;68;0;0;S;0
6;8;;06-01-2011 0:00;1;CHM02;;70;0;0;S;0
6;9;;06-01-2011 0:00;1;MPBC0;;80;0;0;S;0
6;1;;20-01-2011 0:00;1;MPBC1;;10;0;0;R;0
6;2;;20-01-2011 0:00;1;MPBC2;;10;0;0;R;0
6;10;;06-01-2011 0:00;1;MPCK0;;45;0;0;S;0
6;11;;06-01-2011 0:00;1;MPECP;;27;0;0;S;0
6;12;;06-01-2011 0:00;1;MPHPD;;10;0;0;S;0
6;13;;06-01-2011 0:00;1;MPI01;;20;0;0;S;0
6;14;;06-01-2011 0:00;1;MPLA0;;5;0;0;S;0
6;15;;06-01-2011 0:00;1;MPTA0;;10;0;0;S;0
6;16;;06-01-2011 0:00;1;PAH01;;3;0;0;S;0
6;17;;06-01-2011 0:00;1;PAM01;;4;0;0;S;0
8;1;;19-01-2011 0:00;1;MPCP2;4;3;0;0;R;0
8;2;;19-01-2011 0:00;1;MPI03;4;4;0;0;R;0
10;1;10;25-01-2011 0:00;1;ACD01;;0;0;2;R;0
10;2;10;25-01-2011 0:00;1;ACT01;;0;0;5;R;0
10;3;10;25-01-2011 0:00;1;CAH01;;0;0;3;R;0
10;4;10;25-01-2011 0:00;1;CAM02;;0;0;2;R;0
17;1;;10-01-2021 0:00;1;MP101;6;4;0;0;R;0
17;2;;10-01-2021 0:00;1;MP102;6;1;0;0;R;0
18;2;;12-02-2021 0:00;1;MPA01;;4;0;0;R;0
18;1;;12-02-2021 0:00;1;MPBC2;;6;0;0;R;0
19;1;;02-02-2021 0:00;1;MPA01;4;3;0;0;R;0
20;1;;07-02-2021 0:00;1;CAH01;;3;0;0;R;0
21;2;;10-02-2021 0:00;1;CAH01;4;2;0;0;R;0
21;1;;10-02-2021 0:00;1;MP101;4;2;0;0;R;0
22;1;1;07-03-2021 0:00;1;RES01;;6;0;0;R;0
22;2;1;07-03-2021 0:00;1;RES02;;7;0;0;R;0
23;1;1;17-03-2021 0:00;1;RES01;;0;0;1;R;0
23;2;1;17-03-2021 0:00;1;RES02;;0;0;2;R;0
33;1;;20-01-2011 0:00;1;ACC01;;2;0;0;S;0
33;2;;20-01-2011 0:00;1;ACC02;;1;0;0;S;0
34;1;;06-02-2011 0:00;2;CAH01;;0;0;2;E;0
34;2;;06-02-2011 0:00;2;CAH02;;0;0;4;E;0
34;3;;06-02-2011 0:00;2;CAM01;;0;0;4;E;0
34;4;;06-02-2011 0:00;2;CAM02;;0;0;2;E;0
55;1;;04-02-2011 0:00;1;CAH01;;5;0;0;S;0
55;2;;04-02-2011 0:00;1;CAH02;;8;0;0;S;0
55;3;;04-02-2011 0:00;1;CAM01;;6;0;0;S;0
55;4;;04-02-2011 0:00;1;CAM02;;10;0;0;S;0
58;1;;26-01-2011 0:00;2;CAH01;;8;0;0;S;0
58;2;;26-01-2011 0:00;2;CAH02;;6;0;0;S;0
58;3;;26-01-2011 0:00;2;CAM01;;10;0;0;S;0
58;4;;26-01-2011 0:00;2;CAM02;;8;0;0;S;0
69;1;;05-12-2020 0:00;1;BUI01;;3;0;0;S;0
69;2;;05-12-2020 0:00;1;BUI02;;5;0;0;S;0
69;3;;05-12-2020 0:00;1;BUI03;;8;0;0;S;0
69;4;;05-12-2020 0:00;1;BUN01;;5;0;0;S;0
69;5;;05-12-2020 0:00;1;BUN02;;5;0;0;S;0
69;6;;05-12-2020 0:00;1;BUN03;;5;0;0;S;0
71;1;;16-12-2020 0:00;1;BUI01;;2;0;0;S;0
71;2;;16-12-2020 0:00;1;BUI01;;2;0;0;S;0
71;3;;16-12-2020 0:00;1;BUI01;;2;0;0;S;0
80;1;100;07-01-2021 0:00;1;MPA01;;0;0;20;E;0
80;2;100;07-01-2021 0:00;1;MPA02;;0;0;50;E;0
93;1;;24-01-2021 0:00;1;CAH01;;4;0;0;S;0
93;2;;24-01-2021 0:00;1;CAH02;;4;0;0;S;0
94;1;100;30-04-2021 0:00;1;ACC02;;0;0;10;E;0
97;1;;05-02-2021 0:00;1;CAH01;;4;0;0;S;0
103;1;;04-03-2021 0:00;1;MP101;;6;0;0;S;0
103;2;;04-03-2021 0:00;1;MP201;;4;0;0;S;0
10000002;5;50002;03-02-2011 0:00;1;ACD02;;0;0;1;E;0
10000002;2;50002;03-02-2011 0:00;1;ACD02;;0;0;20;E;0
10000002;3;50002;03-02-2011 0:00;1;ACT01;;0;0;25;E;0
10000002;4;50002;03-02-2011 0:00;1;CHH01;;0;0;10;E;0
10000024;2;;13-02-2011 0:00;1;ACC02;;2;2;0;B;0
10000031;1;;15-12-2020 0:00;1;BUI01;;5;5;0;B;0
10000031;1001;;15-12-2020 0:00;1;BUI03;;5;5;0;B;0
131;2;10100100;10-04-2021 0:00;1;12345;;1;0;0;S;1
10000002;1;50002;03-02-2011 0:00;1;12345;;0;0;1;E;1
111;1;9;15-10-2020 0:00;1;CAH01;;3;3;0;F;9
131;1;10100100;10-04-2021 0:00;1;ES0.7;;0.01;0;0;S;15
125;2;;24-03-2021 0:00;1;GS010;;0.06;0;0;S;40
10000005;2;20002;04-02-2011 0:00;1;MPBC0;;0;0;10;E;50
15;1;12233966;25-01-2011 0:00;1;MPBC0;;0;0;2;E;184
35;1;;21-01-2011 0:00;1;MPCP2;4;1;0;0;S;434
31;1;;05-02-2011 0:00;1;MPBC0;4;0;0;5;E;465
15;2;12233966;25-01-2011 0:00;1;MPBC1;;0;0;3;E;522
72;3;;06-01-2021 0:00;1;MPT03;;0.5;0;0;S;550
86;5;;15-01-2021 0:00;1;MPT03;;0.5;0;0;S;550
120;3;;01-03-2021 0:00;1;MPT03;;0.5;0;0;S;550
37;2;;27-01-2011 0:00;1;MPBC2;;2;0;0;S;622
37;1;;27-01-2011 0:00;1;MPBC1;;4;0;0;S;696
17;1;;23-01-2011 0:00;2;MPBC0;;5;5;0;B;750
10000018;2;DE002;03-02-2011 0:00;2;MPBC0;;5;5;0;B;750
54;1;12233966;04-02-2011 0:00;1;MPBC0;;10;0;0;S;920
10000001;1;60001;04-02-2011 0:00;1;ACC01;;1;0;0;S;1000
73;3;;08-01-2021 0:00;1;MPT03;;1;0;0;S;1100
74;3;;09-01-2021 0:00;1;MPT03;;1;0;0;S;1100
75;3;;09-01-2021 0:00;1;MPT03;;1;0;0;S;1100
79;3;;10-01-2021 0:00;1;MPT03;;1;0;0;S;1100
80;3;;10-01-2021 0:00;1;MPT03;;1;0;0;S;1100
119;3;;08-03-2021 0:00;1;MPT03;;1;0;0;S;1100
18;3;;26-01-2011 0:00;1;MPBC0;;0;0;12;E;1104
38;3;;26-01-2011 0:00;2;MPBC0;;12;0;0;S;1104
35;2;;21-01-2011 0:00;1;MPI03;4;1;0;0;S;1243
10000005;1;20002;04-02-2011 0:00;1;CHM01;;0;0;14;E;1400
35;1;6;14-02-2011 0:00;2;MPBC0;;0;10;0;F;1425
41;1;6;04-02-2011 0:00;2;MPBC0;;10;0;0;S;1425
10000010;1;;02-02-2011 0:00;1;MPBC0;;11;11;0;B;1650
19;1;12233966;25-01-2011 0:00;1;MPTA0;;0;0;1;E;1730
54;2;12233966;04-02-2011 0:00;1;MPBC1;;10;0;0;S;1740
31;2;;05-02-2011 0:00;1;MPBC1;4;0;0;10;E;1750
10000021;2;;03-02-2011 0:00;1;MPBC0;;12;12;0;B;1800
79;2;;10-01-2021 0:00;1;MPT02;;1;0;0;S;1850
10000004;3;50002;02-02-2011 0:00;1;MPCP1;;5;5;0;F;1900
128;2;10100100;30-04-2021 0:00;1;FLOIL;;1;0;0;S;2000
130;1;10100100;30-04-2021 0:00;1;FLOIL;;1;0;0;S;2000
10000001;2;50002;03-02-2011 0:00;1;ACM01;;0;0;1;E;2000
26;1;;04-02-2011 0:00;2;MPCK0;;1;1;0;B;2050
77;3;;10-01-2021 0:00;1;MPT03;;2;0;0;S;2200
78;3;;10-01-2021 0:00;1;MPT03;;2;0;0;S;2200
122;4;;28-03-2021 0:00;1;MPT03;;2;0;0;S;2200
2;1;;01-01-2011 0:00;1;MPBC0;;15;15;0;B;2250
25;1;;03-02-2011 0:00;2;MPBC0;;15;15;0;B;2250
31;1;;17-01-2011 0:00;1;MPI02;7;1;0;0;S;2496
79;1;;10-01-2021 0:00;1;MPT01;;1;0;0;S;2680
57;1;;05-02-2011 0:00;1;MPBC0;4;30;0;0;S;2790
57;2;;05-02-2011 0:00;1;MPBC1;4;30;0;0;S;2790
32;1;89277000;14-02-2011 0:00;1;MPBC0;;20;20;0;F;2850
51;1;8;14-02-2011 0:00;1;MPBC0;;20;20;0;F;2850
52;1;6;21-02-2011 0:00;1;MPBC0;;20;20;0;F;2860
36;5;8;14-02-2011 0:00;2;MPHPD;;0;4;0;F;2964
42;5;8;04-02-2011 0:00;2;MPHPD;;4;0;0;S;2964
18;1;;26-01-2011 0:00;1;MPBC2;;0;0;10;E;3110
38;1;;26-01-2011 0:00;2;MPBC2;;10;0;0;S;3110
29;7;1;05-02-2011 0:00;1;MPBP0;;0;0;100;E;3200
10;1;12288963;19-01-2011 0:00;1;ACM01;;0;0;100;E;3300
76;3;;09-01-2021 0:00;1;MPT03;;3;0;0;S;3300
125;1;;24-03-2021 0:00;1;BOGA1;;0.2;0;0;S;3415
10000008;3;;02-02-2011 0:00;1;MPBC0;;24;24;0;B;3600
72;2;;06-01-2021 0:00;1;MPT02;;2;0;0;S;3700
73;2;;08-01-2021 0:00;1;MPT02;;2;0;0;S;3700
74;2;;09-01-2021 0:00;1;MPT02;;2;0;0;S;3700
80;2;;10-01-2021 0:00;1;MPT02;;2;0;0;S;3700
86;4;;15-01-2021 0:00;1;MPT02;;2;0;0;S;3700
119;2;;08-03-2021 0:00;1;MPT02;;2;0;0;S;3700
120;2;;01-03-2021 0:00;1;MPT02;;2;0;0;S;3700
13;1;;17-01-2011 0:00;2;MPBC0;;25;25;0;B;3750
35;7;6;14-02-2011 0:00;2;MPBP0;;0;80;0;F;3952
41;7;6;04-02-2011 0:00;2;MPBP0;;80;0;0;S;3952
91;14;20;01-03-2021 0:00;1;ZZ202;;0;0;3;E;3999
18;1;;23-01-2011 0:00;2;MPCK0;;2;2;0;B;4100
17;2;1;25-01-2011 0:00;1;MPBP0;;0;0;100;E;4200
32;2;89277000;14-02-2011 0:00;1;MPBC1;;20;20;0;F;4370
51;2;8;14-02-2011 0:00;1;MPBC1;;20;20;0;F;4370
35;1;;05-02-2011 0:00;1;CAH01;;0;0;1;E;4385
125;3;;24-03-2021 0:00;1;GS023;;1.2;0;0;S;4553
51;5;8;14-02-2011 0:00;1;MPBG0;;20;20;0;F;4560
4;1;;06-01-2011 0:00;1;MPBC0;;50;0;0;S;4600
25;1;;06-01-2011 0:00;2;MPBC0;;0;0;50;E;4600
54;3;12233966;04-02-2011 0:00;1;MPBC2;;15;0;0;S;4665
17;2;;23-01-2011 0:00;2;MPOCH;;4;4;0;B;4800
54;4;12233966;04-02-2011 0:00;1;MPBC3;;12;0;0;S;5088
124;6;;23-03-2021 0:00;1;SO004;;3;0;0;S;5310
126;6;;30-03-2021 0:00;1;SO004;;3;0;0;S;5310
4;7;;06-01-2011 0:00;1;MPBP0;;150;0;0;S;5400
25;7;;06-01-2011 0:00;2;MPBP0;;0;0;150;E;5400
10000016;1;10004;03-02-2011 0:00;1;ACT01;;1;1;0;F;5812
10000022;2;2;03-02-2011 0:00;1;ACT01;;1;1;0;F;5812
23;1;;02-02-2011 0:00;2;MPOCH;;5;5;0;B;6000
85;1;DEMO MT;23-03-2021 0:00;1;AC001;;0;0;8;E;6000
18;2;;26-01-2011 0:00;1;MPBC3;;0;0;15;E;6360
38;2;;26-01-2011 0:00;2;MPBC3;;15;0;0;S;6360
35;2;6;14-02-2011 0:00;2;MPBC1;;0;30;0;F;6555
41;2;6;04-02-2011 0:00;2;MPBC1;;30;0;0;S;6555
52;2;6;21-02-2011 0:00;1;MPBC1;;30;30;0;F;6570
133;2;;23-04-2021 0:00;1;MPT03;;6;0;0;S;6600
35;5;6;14-02-2011 0:00;2;MPBG0;;0;30;0;F;6840
41;5;6;04-02-2011 0:00;2;MPBG0;;30;0;0;S;6840
52;3;6;21-02-2011 0:00;1;MPBC2;;0;15;0;F;6840
36;1;8;14-02-2011 0:00;2;MPCP1;;0;20;0;F;7220
42;1;8;04-02-2011 0:00;2;MPCP1;;20;0;0;S;7220
51;10;8;14-02-2011 0:00;1;MPCP1;;20;20;0;F;7220
10000015;1;60004;03-02-2011 0:00;1;ACD01;;1;1;0;F;7393
75;2;;09-01-2021 0:00;1;MPT02;;4;0;0;S;7400
76;2;;09-01-2021 0:00;1;MPT02;;4;0;0;S;7400
77;2;;10-01-2021 0:00;1;MPT02;;4;0;0;S;7400
78;2;;10-01-2021 0:00;1;MPT02;;4;0;0;S;7400
11;1;1;20-01-2011 0:00;1;MPBC1;;0;0;50;E;7450
7;1;;03-01-2011 0:00;2;MPBC0;;50;50;0;B;7500
124;1;;23-03-2021 0:00;1;AC001;;10;0;0;S;7500
127;2;;30-03-2021 0:00;1;AC001;;10;0;0;S;7500
91;15;20;01-03-2021 0:00;1;ZZ203;;0;0;4;E;7960
80;1;;10-01-2021 0:00;1;MPT01;;3;0;0;S;8040
10000001;1;50001;02-02-2011 0:00;1;CAH01;;1;1;0;F;8560
10000009;1;20002;02-02-2011 0:00;1;CAH01;;1;1;0;F;8560
32;5;89277000;14-02-2011 0:00;1;MPBG0;;20;40;0;F;9120
45;3;8;18-02-2011 0:00;2;MPBC2;;0;20;0;F;9120
51;3;8;14-02-2011 0:00;1;MPBC2;;20;20;0;F;9120
52;3;8;10-02-2011 0:00;2;MPBC2;;20;0;0;S;9120
57;3;;05-02-2011 0:00;1;MPBC2;4;30;0;0;S;9330
29;1;1;05-02-2011 0:00;1;MPBC0;;0;0;100;E;9500
10000012;1;50002;02-02-2011 0:00;1;ACD02;;1;1;0;F;9502
51;7;8;14-02-2011 0:00;1;MPBP0;;200;200;0;F;9880
91;16;20;01-03-2021 0:00;1;ZZ205;;0;0;10;E;10000
95;1;1;30-04-2021 0:00;1;CAH01;;0;0;1;E;10000
124;4;;23-03-2021 0:00;1;MAH01;;10;0;0;S;10000
129;1;10100100;30-04-2021 0:00;1;PCA01;;1;0;0;S;10000
10000001;2;60001;04-02-2011 0:00;1;ACT01;;2;0;0;S;10000
13;1;12288963;20-01-2011 0:00;1;MPQM0;;0;0;20;E;10080
10000004;2;50002;02-02-2011 0:00;1;MPCP2;;15;15;0;F;10200
45;4;8;18-02-2011 0:00;2;MPBC3;;0;20;0;F;10830
51;4;8;14-02-2011 0:00;1;MPBC3;;20;20;0;F;10830
52;4;8;10-02-2011 0:00;2;MPBC3;;20;0;0;S;10830
122;3;;28-03-2021 0:00;1;MPT02;;6;0;0;S;11100
11;2;1;20-01-2011 0:00;1;MPBP0;;0;0;300;E;11700
4;8;;06-01-2011 0:00;1;MPBS0;;100;0;0;S;12100
25;8;;06-01-2011 0:00;2;MPBS0;;0;0;100;E;12100
53;1;105;08-11-2020 0:00;1;MPA01;;0;0;3;E;12300
10000040;1;;10-01-2021 0:00;1;MP201;;4;4;0;B;12400
16;1;9;04-07-2020 0:00;1;MP101;;5;0;0;R;12500
29;8;1;05-02-2011 0:00;1;MPBS0;;0;0;100;E;12500
76;1;9;15-07-2020 0:00;1;MP101;;5;5;0;F;12500
10000039;1;;10-01-2021 0:00;1;MP101;;5;5;0;B;12500
10000016;2;10004;03-02-2011 0:00;1;CAH02;;1;1;0;F;12530
57;4;;05-02-2011 0:00;1;MPBC3;4;30;0;0;S;12750
17;1;1;25-01-2011 0:00;1;CAH01;;0;0;2;E;12900
3;1;4;10-01-2011 0:00;2;MPTA0;;0;5;0;F;13000
